id_fonte_gaia,ascensao_reta_ra,declinacao_dec,magnitude_g,paralaxe_mas,fonte_dados,status_validacao
5853498713190525696,217.39232147200883,-62.67607511676666,8.984749,768.0665391873573,ESA Gaia DR3,Validado
4472832130942575872,269.44850252543836,4.739420051112412,8.1939745,546.975939730948,ESA Gaia DR3,Validado
3864972938605115520,164.10319030755974,7.002726940984864,11.038391,415.17941567802137,ESA Gaia DR3,Validado
762815470562110464,165.83095967577933,35.948653032660104,6.551172,392.75294543876464,ESA Gaia DR3,Validado
2947050466531873024,101.28662552099249,-16.720932526023173,8.524133,374.48958852876103,ESA Gaia DR3,Validado
5140693571158946048,24.771674208211856,-17.947682860008488,10.817838,373.8443122683992,ESA Gaia DR3,Validado
5140693571158739840,24.771554293454546,-17.948299887129313,10.507542,367.71189618147696,ESA Gaia DR3,Validado
4075141768785646848,282.4587890175222,-23.83709744872712,9.126414,336.0266016683708,ESA Gaia DR3,Validado
1926461164913660160,355.4800152581559,44.170375700747755,10.379277,316.48118678226916,ESA Gaia DR3,Validado
5164707970261890560,53.22829341517546,-9.458168216292322,3.465752,310.5772928005821,ESA Gaia DR3,Validado
6553614253923452800,346.5039166796005,-35.8471642082214,6.5220323,304.1353692001036,ESA Gaia DR3,Validado
3796072592206250624,176.93768799004127,0.7991199702364985,9.601,296.3053079139394,ESA Gaia DR3,Validado
1872046574983497216,316.753662752556,38.75607277205679,5.4506445,286.0053518616485,ESA Gaia DR3,Validado
1872046609345556480,316.7484792940004,38.76386244649797,4.766713,285.99494829578117,ESA Gaia DR3,Validado
2154880616774131840,280.6830708352289,59.638357907754816,7.854393,283.8401180184389,ESA Gaia DR3,Validado
2154880616774131712,280.68308624583415,59.635145454818776,8.524704,283.8377678450057,ESA Gaia DR3,Validado
385334230892516480,4.613226257557736,44.02478674398518,7.218567,280.706821579123,ESA Gaia DR3,Validado
385334196532776576,4.625300681217554,44.02874451664357,9.686646,280.6947310460246,ESA Gaia DR3,Validado
703790044252850688,127.45009240230564,26.77328596508202,12.167455,279.2496391012477,ESA Gaia DR3,Validado
6412595290592307840,330.8724078795965,-56.79725466122902,4.322904,274.8431415216296,ESA Gaia DR3,Validado
